,Intern_Role,Company_Name,Location,Duration,Stipend
109,Game Development,INION VR TECHNOLOGIES PRIVATE LIMITED,Pune,6 Months, 5000-8000 /month
110,.NET Development,TechUnity Software Systems India Private Limited,Coimbatore,3 Months, 10000 /month
111,Game Development,IDZ Digital Private Limited,Work From Home,3 Months, 10000 /month
112,Software Development,DeepThought Edutech Ventures Private Limited,Work From Home,6 Months, 12000 /month
113,Unity 3D Game Development,The Learning Buddy,Gurgaon,6 Months, 5000-10000 /month
114,Java Development,IDZ Digital Private Limited,Work From Home,3 Months, 8000 /month
115,Android Development,IDZ Digital Private Limited,Mumbai,3 Months, 8000 /month
116,Software Development,Oktal Sydac,Pune,6 Months, 10000 /month
117,Software Quality Control,TantraSoft Solutions (I) Private Limited,Mumbai,6 Months, 10000 /month
118,Artificial Intelligence Development,Expertel SA - Proceedit,Work From Home,6 Months, 1000 /month +  Incentives
119,Java Development,Pay10,Delhi,3 Months, 20000 /month
120,Software Development,TechCiti Technologies Private Limited,Bangalore,6 Months, 2000 /month
121,Flutter Development,Shubh Karman,Chandigarh,3 Months, 8000-16000 /month
122,Software Development,VMC Management Consulting Private Limited,Delhi,3 Months, 4000 /month +  Incentives
123,Software Development,Voltamosys,Ahmedabad,6 Months, 4000-10000 /month
124,Convolution Neural Network,Pitch2ad,Bangalore,6 Months, 5000 /month
125,.NET Development,Datastack Technologies Private Limited,Ahmedabad,6 Months, 10000 /month
126,Natural Language Processing (NLP),Dimensionless Technologies,Mumbai,6 Months, 20000 /month
127,AI & ML Project Development,STEMpedia,Ahmedabad,6 Months, 8000-12000 /month
128,Content Writing (Artificial Intelligence),STEMpedia,Ahmedabad,6 Months, 8000-14000 /month
129,ReactJS Development,Psyber Incorporation,Work From Home,6 Months, 3000 /month
130,Software Development Engineering,Nerdpine,Hyderabad,6 Months, 20000 /month
131,Robotic Process Automation,Solar Industries India Limited,Work From Home,6 Months, 8000-10000 /month
132,Java Development,Relinns Technologies,Mohali,6 Months, 7000 /month
133,Full Stack Software Development,Corum8,Work From Home,6 Weeks, 2000 /month +  Incentives
134,Software Development,Xmplar Management Solutions Private Limited,Madurai,3 Months, 10000-15000 /month
135,Computer Vision,ZestIOT Technologies Private Limited,Visakhapatnam,6 Months, 10000 /month
136,Java Development,Monkhub,Delhi,5 Months, 10000 /month
137,Software Engineering (React Native/ReactJS),InGen Dynamics Inc. (Part Of AH Dynamics And Robotics Private Limited),Bangalore,6 Months, 10000 /month
138,Python Development,ZestIOT Technologies Private Limited,Hyderabad,6 Months, 10000 /month
139,Robotics Control System Engineering,Flux,Bangalore,6 Months, 30000 /month
140,Embedded C Development,Neonflake Enterprises (OPC) Private Limited,Secunderabad,6 Months, 10000-12000 /month
141,DRF Development,PythonMate,Indore,6 Months, 8000 /month
142,Python Development,Vedspace Ventures,Agra,6 Months, 5000-10000 /month
143,Software Engineering,InGen Dynamics Inc. (Part Of AH Dynamics And Robotics Private Limited),Bangalore,6 Months, 10000-12000 /month
144,PHP Web Development,Sensor Equation,Work From Home,6 Months, 4000-8000 /month
145,Dot Net Development,Shipgig Ventures Private Limited,Delhi,6 Months, 5000 /month
146,Artificial Intelligence Programming,OODAK Systems,Work From Home,6 Months, 5000 /month
147,Fuel Cell Development (PEMFC),"Kaatru, IIT Madras",Chennai,3 Months, 20000-25000 /month
148,Medical Data Annotation,Biz-Tech Analytics,Work From Home,1 Month, 15000-25000 /month
149,Software Product Development & Management,Login2Xplore,Work From Home,4 Months, 3000 /month
150,MERN Stack Development,Vouch Digital,Ahmedabad,6 Months, 12000-20000 /month
151,MEAN Development,Relinns Technologies,Chandigarh,6 Months, 7000 /month
152,Python Development,Zecdata Technology Private Limited,Indore,6 Months, 10000-20000 /month
153,Backend Software Development,IQGateway,Work From Home,6 Months, 20000 /month
154,Full Stack Web Development,Girl Power Talk,Work From Home,6 Months, 7000-14000 /month
155,Unity 3D Game Development,CBS Games,Work From Home,1 Month, 5000 /month
156,Python Development,Alethea Communications Technologies Private Limited,Bangalore,6 Months, 25000-27000 /month
157,Product Management,SmartCue,Work From Home,6 Months, 12000 /month
158,Unity 2D Game Development,Origami Games,Work From Home,4 Months, 3000-5000 /month
159,Java Development,Relinns Technologies,Chandigarh,6 Months, 7000 /month
160,Java Development,Relinns Technologies,Chandigarh,6 Months, 7000 /month
161,Software Development Engineering (React.js),CFT Labs,Work From Home,6 Months, 7000 /month
162,Zapier Expert,Prayaana Labs,Work From Home,6 Months,Unpaid
163,Software Development,Fleo,Work From Home,3 Months, 6000 /month
164,.NET Development,IRIS Business Services Limited,Work From Home,3 Months, 8000-12000 /month
165,Desktop Support Engineering,SM2 INFOTECH,Mumbai,3 Months, 7500-10000 /month
166,Flutter Development,Oodles Technologies Private Limited,Gurgaon,2 Months, 5000-10000 /month
167,Computer Vision,Artenal,Work From Home,5 Months, 10000 /month
168,Flutter Development,Caropet Technologies Private Limited,Hyderabad,3 Months, 10000 /month
169,Software Development,Dream Big Tech Ventures,Chandigarh,3 Months, 10000 /month
170,SAP ABAP/MM/FICO,IBM India Private Limited,Chennai,3 Months, 35000 /month
171,Web Development,Volcor Software,Ahmedabad,6 Months, 5000-7000 /month
172,Instruction (Roblox),Triluxo Technologies Private Limited,Work From Home,4 Months, 1000 /month
